"Tipologia","Frecuencia","Household"
"T1",10371,310111470801
"T1",10371,310111510401
"T1",10371,310111510501
"T1",10371,310111520501
"T1",10371,310111521401
"T1",10371,310111530801
"T1",10371,310111540601
"T1",10371,310111570101
"T1",10371,310111580701
"T1",10371,310111610701
"T1",10371,310111620601
"T1",10371,310111640101
"T1",10371,310111640301
"T1",10371,310111680201
"T1",10371,310111690301
"T1",10371,310111690401
"T1",10371,310111690701
"T1",10371,310111690801
"T1",10371,310111691101
"T1",10371,310111700601
"T1",10371,310111740401
"T1",10371,310111750801
"T1",10371,310111760801
"T1",10371,310111810401
"T1",10371,310111830301
"T1",10371,310111830801
"T1",10371,310111850301
"T1",10371,310111850701
"T1",10371,310111880201
"T1",10371,310111890201
"T1",10371,310111940101
"T1",10371,310111951501
"T1",10371,310112000101
"T1",10371,310112000301
"T1",10371,310112050501
"T1",10371,310112080401
"T1",10371,310112090201
"T1",10371,310112100501
"T1",10371,310112110201
"T1",10371,310112130301
"T1",10371,310112190201
"T1",10371,310112230501
"T1",10371,310112240101
"T1",10371,310112240501
"T1",10371,310112260301
"T1",10371,310112320101
"T1",10371,310112320201
"T1",10371,310112330701
"T1",10371,310112330901
"T1",10371,310112331001
"T1",10371,310112340701
"T1",10371,310112360601
"T1",10371,310112370401
"T1",10371,310112380101
"T1",10371,310112390401
"T1",10371,310112410101
"T1",10371,310112420101
"T1",10371,310112430301
"T1",10371,310112460401
"T1",10371,310112460701
"T1",10371,310112480301
"T1",10371,310112500401
"T1",10371,310112530201
"T1",10371,310112540101
"T1",10371,310112580701
"T1",10371,310112600201
"T1",10371,310112601101
"T1",10371,310112610102
"T1",10371,310112660301
"T1",10371,310112670201
"T1",10371,310112680602
"T1",10371,310112690701
"T1",10371,310112700101
"T1",10371,310112700201
"T1",10371,310112730301
"T1",10371,310112730501
"T1",10371,310112731201
"T1",10371,310112731601
"T1",10371,310112740201
"T1",10371,310112741101
"T1",10371,310112760501
"T1",10371,310112761201
"T1",10371,310112770301
"T1",10371,310112800601
"T1",10371,310112800901
"T1",10371,310112811101
"T1",10371,310112820801
"T1",10371,310112840201
"T1",10371,310112870201
"T1",10371,310112891601
"T1",10371,310112950201
"T1",10371,310112960101
"T1",10371,310112961501
"T1",10371,310112970401
"T1",10371,310112980901
"T1",10371,310130011001
"T1",10371,310130011401
"T1",10371,310130020101
"T1",10371,310130020201
"T1",10371,310130020701
"T1",10371,310130030601
"T1",10371,310130030901
"T1",10371,310210020101
"T1",10371,310210030201
"T1",10371,310210040301
"T1",10371,310210050301
"T1",10371,310210060101
"T1",10371,310210090101
"T1",10371,310210100201
"T1",10371,310210110401
"T1",10371,310210110601
"T1",10371,310210160401
"T1",10371,310210170301
"T1",10371,310210170601
"T1",10371,310210180101
"T1",10371,310210180701
"T1",10371,310210200201
"T1",10371,310210270201
"T1",10371,310210270301
"T1",10371,310210280301
"T1",10371,310210300301
"T1",10371,310210360301
"T1",10371,310210380501
"T1",10371,310210390301
"T1",10371,310210400101
"T1",10371,310210400301
"T1",10371,310210410201
"T1",10371,310210490201
"T1",10371,310310060101
"T1",10371,310310060701
"T1",10371,310310120701
"T1",10371,310310120801
"T1",10371,310310140701
"T1",10371,310310150401
"T1",10371,310310170301
"T1",10371,310310190201
"T1",10371,310330010201
"T1",10371,310330010301
"T1",10371,310330010901
"T1",10371,310330011301
"T1",10371,310330011401
"T1",10371,310330011601
"T1",10371,310330020201
"T1",10371,320110010301
"T1",10371,320110010801
"T1",10371,320110040201
"T1",10371,320110060401
"T1",10371,320110080401
"T1",10371,320110090101
"T1",10371,320110160201
"T1",10371,320110170401
"T1",10371,320110190301
"T1",10371,320110220101
"T1",10371,320110230301
"T1",10371,320110250301
"T1",10371,320110270101
"T1",10371,320110270301
"T1",10371,320110290601
"T1",10371,320110290701
"T1",10371,320110310401
"T1",10371,320110350401
"T1",10371,320210040301
"T1",10371,320210070101
"T1",10371,320210100101
"T1",10371,320210100801
"T1",10371,320210120201
"T1",10371,320210130201
"T1",10371,320210140501
"T1",10371,320210160201
"T1",10371,320210160401
"T1",10371,320210200101
"T1",10371,320210200301
"T1",10371,320210210101
"T1",10371,320210220101
"T1",10371,320210240101
"T1",10371,320210250201
"T1",10371,320210260301
"T1",10371,320210310101
"T1",10371,320210380201
"T1",10371,320210440401
"T1",10371,320230030501
"T1",10371,330110010401
"T1",10371,330110010501
"T1",10371,330110030301
"T1",10371,330110050501
"T1",10371,330110050901
"T1",10371,330110090201
"T1",10371,330110130101
"T1",10371,330110150801
"T1",10371,330110160101
"T1",10371,330110170801
"T1",10371,330110171001
"T1",10371,330110200301
"T1",10371,330110230301
"T1",10371,330110240301
"T1",10371,330110250401
"T1",10371,330110250601
"T1",10371,330110260501
"T1",10371,330110260601
"T1",10371,330110310101
"T1",10371,330110310201
"T1",10371,330110320101
"T1",10371,330110320401
"T1",10371,330110350801
"T1",10371,330110400201
"T1",10371,330110410401
"T1",10371,330110420401
"T1",10371,330110440401
"T1",10371,330110450401
"T1",10371,330110460301
"T1",10371,330110500201
"T1",10371,330110510201
"T1",10371,330110580201
"T1",10371,330110590401
"T1",10371,330110600401
"T1",10371,330110600601
"T1",10371,330110610201
"T1",10371,330110620401
"T1",10371,330110630301
"T1",10371,330110660101
"T1",10371,330110670501
"T1",10371,330110680301
"T1",10371,330110680401
"T1",10371,330110690501
"T1",10371,330110700101
"T1",10371,330110710301
"T1",10371,330110730101
"T1",10371,330110750101
"T1",10371,330110790501
"T1",10371,330110800801
"T1",10371,330110810101
"T1",10371,330110820401
