"Tipologia","intergeneracional","padrastros","suegros","nodos_aislados","monoparental","pareja_sin_hijos"
"T722",1,0,0,0,0,0
"T723",1,0,0,0,0,0
"T724",1,0,0,0,0,0
"T725",0,1,1,0,0,0
"T726",0,1,0,0,0,0
"T727",1,1,0,0,0,0
"T728",1,1,0,0,0,0
"T729",1,1,1,0,0,0
"T730",1,0,1,0,0,0
"T731",1,0,0,0,0,0
"T732",1,1,0,0,0,0
"T733",0,1,1,0,0,0
"T734",0,1,0,0,0,0
"T735",0,1,1,0,0,0
"T736",0,1,1,0,0,0
"T737",0,1,0,0,0,0
"T738",1,0,1,0,0,0
"T739",0,0,0,0,0,0
"T740",1,0,0,0,0,0
"T741",0,1,1,0,0,0
"T742",0,1,1,0,0,0
"T743",1,0,0,0,0,0
"T744",0,1,1,0,0,0
"T745",0,1,1,0,0,0
"T746",0,1,1,0,0,0
"T747",0,1,1,0,0,0
"T748",0,1,1,0,0,0
"T749",0,1,0,0,0,0
"T750",0,1,1,0,0,0
"T751",0,1,1,0,0,0
"T752",0,1,1,0,0,0
"T753",1,1,1,0,0,0
"T754",0,0,1,0,0,0
"T755",0,0,1,0,0,0
"T756",0,0,1,0,0,0
"T757",0,0,1,0,0,0
"T758",0,0,1,0,0,0
"T759",1,1,1,0,0,0
"T760",1,1,1,0,0,0
"T761",1,0,1,0,0,0
"T762",1,0,1,0,0,0
"T763",0,0,1,0,0,0
"T764",1,1,1,0,0,0
"T765",1,0,1,0,0,0
"T766",1,0,1,0,0,0
"T767",0,0,1,0,0,0
"T768",1,0,1,0,0,0
"T769",1,0,0,0,0,0
"T770",0,1,1,0,0,0
"T771",1,0,0,0,0,0
"T772",1,0,0,0,0,0
"T773",1,0,1,0,0,0
"T774",1,1,1,0,0,0
"T775",1,0,1,0,0,0
"T776",1,0,1,0,0,0
"T777",0,1,0,0,0,0
"T778",1,0,0,0,0,0
"T779",1,0,0,0,0,0
"T780",0,0,1,0,0,0
"T781",1,0,0,0,0,0
"T782",1,0,0,0,0,0
"T783",0,1,1,0,0,0
"T784",1,1,0,0,0,0
"T785",0,1,1,0,0,0
"T786",1,0,0,0,0,0
"T787",1,1,1,0,0,0
"T788",0,0,0,0,0,0
"T789",1,0,0,0,0,0
"T790",0,1,1,0,0,0
"T791",1,0,0,0,0,0
"T792",1,1,1,0,0,0
"T793",1,0,1,0,0,0
"T794",0,0,0,0,0,0
"T795",1,1,0,0,0,0
"T796",0,1,1,0,0,0
"T797",0,1,1,0,0,0
"T798",0,1,1,0,0,0
"T799",1,1,1,0,0,0
"T800",1,1,1,0,0,0
"T801",1,1,0,0,0,0
"T802",1,0,0,0,0,0
"T803",1,0,1,0,0,0
"T804",0,0,1,0,0,0
"T805",1,1,0,0,0,0
"T806",0,1,1,0,0,0
"T807",0,1,1,0,0,0
"T808",0,1,1,0,0,0
"T809",0,1,0,0,0,0
"T810",1,0,0,0,0,0
"T811",0,1,1,0,0,0
"T812",1,0,1,0,0,0
"T813",0,1,1,0,0,0
"T814",0,1,1,0,0,0
"T815",0,1,1,0,0,0
"T816",1,1,1,0,0,0
"T817",1,0,0,0,0,0
"T818",0,1,1,0,0,0
"T819",0,1,0,0,0,0
"T820",0,1,1,0,0,0
"T821",1,1,0,0,0,0
"T822",1,0,0,0,0,0
"T823",0,1,1,0,0,0
"T824",0,1,1,0,0,0
"T825",1,0,0,0,0,0
"T826",0,0,1,0,0,0
"T827",1,0,0,0,0,0
"T828",0,1,1,0,0,0
"T829",0,1,1,0,0,0
"T830",0,1,1,0,0,0
"T831",1,0,0,0,0,0
"T832",1,1,1,0,0,0
"T833",1,1,1,0,0,0
"T834",0,1,1,0,0,0
"T835",0,1,1,0,0,0
"T836",0,0,1,0,0,0
"T837",0,0,1,0,0,0
"T838",0,0,1,0,0,0
"T839",0,0,1,0,0,0
"T840",0,1,1,0,0,0
"T841",0,0,1,0,0,0
"T842",1,0,1,0,0,0
"T843",0,0,0,0,0,0
"T844",1,0,1,0,0,0
"T845",0,0,1,0,0,0
"T846",1,1,1,0,0,0
"T847",0,1,1,0,0,0
"T848",1,1,1,0,0,0
"T849",0,1,1,0,0,0
"T850",1,0,1,0,0,0
"T851",1,1,1,0,0,0
"T852",1,1,1,0,0,0
"T853",1,0,0,0,0,0
"T854",1,1,1,0,0,0
"T855",1,0,1,0,0,0
"T856",0,1,1,0,0,0
"T857",1,0,1,0,0,0
"T858",1,0,1,0,0,0
"T859",1,1,0,0,0,0
