"Nodos","fingerprints","Frecuencia"
9,"2:4,4:2,1:1,5:1,8:1|1:15",1
9,"2:4,4:2,1:1,6:1,7:1|1:15",1
9,"2:4,4:2,5:2,6:1|1:16",2
9,"2:4,5:2,1:1,3:1,4:1|1:13",1
9,"2:4,5:2,1:1,4:1,7:1|1:15",1
9,"2:4,5:3,1:1,6:1|1:15",1
9,"2:4,6:2,0:1,3:1,5:1|1:14",1
9,"2:4,6:2,1:1,4:1,5:1|1:15",2
9,"2:4,6:3,1:2|1:14",1
9,"2:5,0:1,1:1,6:1,9:1|1:13",1
9,"2:5,1:1,4:1,6:1,7:1|1:14",1
9,"2:5,1:2,6:2|1:12",1
